Atalar_sozlari|Random_Ededer
Dəliyə gündə bayramdır.|815
Dəliyə yel ver, əlinə bel ver.|893
Dəliyə yüz öyrət, bildiyin elər.|639
Dəlləkliyi bizim başımızda öyrənir.|180
Dəm eniş olar, dəm yoxuş.|978
Dəm söhbət – dəm ixtilat.|853
Dəmir döyülə-döyülə polad olur.|663
Dəmir qapının taxta qapıya işi düşər.|764
Dəmiri isti-isti döyərlər.|692
Dəmiri kürədən dəmir çıxardar.|915
Dəmiri nəm çürüdər, igidi qəm.|265
Dəmirsiniz, missiniz, hamınız bir cinssiniz.|630
Dəmli hara gedər? - Dəm ardınca.- Qəmli hara gedər? Qəm ardınca.|231
Dəni ellərdən, suyu göllərdən.|247
Dəni məndən yeyir, başqa yerdə yumurtlayır.|988
Dərd adama selnən girər, misqalnan çıxar.|706
Dərd adamı dingildədər.|218
Dərd ağladar, eşq söylədər.|199
Dərd bir olsa ağlamağa nə var.|829
Dərd çəkənə görədir.|781
Dərd dərd üstündən gələr.|492
Dərd dərdə bənzəməz.|358
Dərd gedər, yeri boş qalmaz.|499
Dərd getməz, dəyişər.|612
Dərd var – gələr keçər, dərd var – dələr keçər.|959
Dərd verən dərmanın da verər.|309
Dərdi çəkən bilər.|587
Dərdi dağa verdilər, götürmədi, ancaq insan götürdü.|362
Dərdin qoy dərdim üstə, onu da mən çəkərəm.|148
Dərdini dərd bilənə söylə.|934
Dərdini gizlədən dərmanın tapmaz.|821
Dərdli deyingən olar.|289
Dərdli söylədiyin dəli söyləməz.|314
Dərdlini dindirmə, özü dillənər.|616
Dərə yiyəsiz olanda tülkü bəylik elər.|966
Dərgahın qapısı açıq olanda köpəyin yuxusu gələr.|689
Dərin çay səssiz axar.|57
Dərin su bulanmaz.|468
Dərmana inanma, dərmansız da qalma.|385
Dərviş yabısı hər evin yolunu tanıyar.|993
Dərvişin fikri nə isə, zikri də odur.|606
Dərvişlikdən xəbəri yox, gecə-gündüz təkyə axtarır.|533
Dəryaya bir daş at, ya bir qaya sal.|22
Dərzin az oldu, xırmanı böyük aç.|66
Dərzi öz yırtığını yamamaz.|587
Dərzi yaxası cırıq olar, başmaqçı ayağı yalın.|822
Dərziyə köç dedilər, iynəsini sancdı yaxasına.|320
Dəvə ağır gedər, çox gedər.|80
Dəvə bir xəyal elər, sarvan iki.|306
Dəvə böyük – ot yeyər, şahin kiçik – ət yeyər.|720
Dəvə bu boynan həlbət uşaq imiş?|14
Dəvə buynuz axtarırdı, qulaqdan da oldu.|424
Dəvə dedi: “Hamamdan qalıram”.Dedilər: “Görünür qıçından-paçandan”.|537
Dəvə durdu, dam uçuldu.|671
Dəvə gördünmü? Qığını da görmədim.|525
Dəvə gözün yumar girər pambığa, Deyər: məni heç kim görmür.|293
Dəvə Məkkəyə getməklə hacı olmaz.|226
Dəvə nə qədər ölü ola, dərisi bir eşşəyə yükdür.|755
Dəvə nə qədər uzağa getsə, qatarını gözlər.|504
Dəvə oynayan günü qar yağar.|553
Dəvə öldü, eşşəyə zülüm oldu.|180
Dəvə ölsə, dərisi bir yükdür, toyuq ölsə, dərisi bir çəngə tükdür.|954
Dəvə öz əyrisin bilməz.|160
Dəvə tanımasa, ovsarı tanıyar.|756
Dəvə yaxını otlayıb uzağı gözlər.|384
Dəvəcə boyun olunca düyməcə ağlın olsun.|621
Dəvəçiylə dost olanın darvazası gen gərək.|596
Dəvədən bir tük qoparsan, yenə qənimətdi.|362
Dəvədən böyük fil də var.|190
Dəvədən soruşdular: boynun niyə əyridi, dedi: haram düzdü?|631
Dəvəni andılar – ya suya, ya oduna!|684
Dəvəni dağdan uçurdan bir çəngə otdur.|161
Dəvəni eşşəyin quyruğuna bağlama.|818
Dəvənin dizini bağla, sonra Allaha tapşır.|369
Dəvənin nəyi düzdü ki, boynu da düz olsun.|446
Dəvənin yemədiyi ot ya başını ağrıdar, ya qılçını.|665
Dəvəyə dedilər: enişi sevirsən, yoxuşu? Dedi: lənət hər üçünə.|334
Dəvəyə qanqal lazım olsa, boynunu yüz yerdən uzadar.|784
Dəvəyə şüşəki nə eyləsin?!|294
Dəvəquşuna dedilər: qaç, dedi: quşam, dedilər: uç, dedi: dəvəyəm.|681
Dəvətsiz gələn döşəksiz oturar.|144
Dəyənək dəlinin, süpürgə gəlinin.|291
Dəyirman öz işin işdər, çax-çax baş ağrıdar.|220
Dəyirmana gedəndən sonra ulaq verən çox olar.|768
Dəyirmana su hardan axdığın öyrən.|758
Dəyirmançı qızını ərə verdi, arvadını da üstəlik.|943
Dəyirmançıdan acıq eləyən çuvalın boş aparar.|879
Dəyirmançının şahidi kömbəçi olar.|181
Dəyirmanda dənin yox, şahad üstə başını niyə yarırsan!|724
Dəyirmanın yaraşığı torba-çuvaldı.|472
Dəymə mənə, dəyməyim sənə.|49
Dığ-dığ qardaşı qardaşdan ayırar.|13
Dımbılı ələk, dımbılı sac, əlim xəmir, qarnım ac!|554
Dil adamı bəyan elər.|591
Dil həmişə ağrıyan dişin üstə gələr.|261
Dil ki var, ətdəndi; hara döndərsən dönər.|282
Dil sümüksüzdü, amma sümüyü sındırar.|514
Dil var bal – gətirər, dil var – bəla gətirər.|175
Dil yanılar, doğrusun deyər.|288
Dil yarası – il yarası.|443
Dildən gələn əldən gəlsə, hər fuğara padşah olar.|720
Dildir – nə qoruğu var, nə qaytanı.|946
Dili bal, işi bəla.|622
Dili dost, qəlbi qara, mən belə dostu neylim?|484
Dilim-dilim olasan, dilim.|935
Dilin zəkatı xeyir söyləməkdi.|972
Dilini saxlayan başını saxlar.|611
Dilənçi bir olsa, balnan bəslərlər.|756
Dilənçi bir olsa, dirilməyə nə var.|986
Dilənçi salam almaz.|832
Dilənçinin torbası dolmaz.|90
Dilənçinin üzü qara olur, torbası dolu.|384
Dini dinara satan molla dindən də olar, dinardan da.|779
Dinsizin ağzını imansız yumar.|602
Dinmə, səni udaram.|495
Dirini öldürmək olar, ölünü diriltmək olmaz.|104
Diş qurdalamaqla qarın doymaz.|830
Diş nə qədər şirin ola, ağrıyanda çıxardıb tullayırlar.|285
Diş verən dişlik də verər.|805
Diş yox ikən dodaq vardı.|434
Dişdən artmaz, işdən artar.|585
Dişi düşmüş boz öküz qoşulub cöngələrə.|19
Dişnən, dırnaqnan yığıb ağıznan yemək gərəkdi.|152
Dişsiz ağız – daşsız dəyirman.|252
Divanxana qapısı girəndə darvaza olar, çıxanda iynə gözü.|102
Divarı nəm yıxar, insanı qəm.|397
Divarın dalısı da qürbətdir.|831
Divarın əyrisi özülündən başlar.|755
Diz ağrısın can çəkər.|115
Doğru büdrər, amma yıxılmaz.|936
Doğru deyənin başı keçəl olar.|612
Doğru elə bilər hamı doğrudur, oğru elə bilər hamı oğrudur.|613
Doğru ol, asan yol ilə get.|609
Doğru söz acı olar.|815
Doğru söz kin duruldar.|415
Doğru sözə nə and?|602
Doğru yolda yıxılan tez qalxar.|790
Doğru yolla gedən yorulmaz.|630
Doğruluqla dost qapısın dolan gəl, öz evindir.|605
Doğruya zaval yoxdur, çəkəsən hər divana.|636
Doqquz döşəkli baba axırı quru yerdə can verər.|945
Doqquzunda nə isə doxsanında da odur.|993
Dolaşan (gəzən) qurd ac qalmaz.|791
Dolunu yeyib boşa təpik atmazlar.|845
Don kimindi – geyənin, at kimindi – minənin.|584
Donuz xort-xortunu böyüyündən öyrənər.|355
Dost başa baxar, düşmən ayağa.|594
Dost daşı bərk incidər.|43
Dost dosta tən gərək, tən olmasa gen gərək.|789
Dost dostun sağlığın istər.|65
Dost gəlişi bayram olar.|680
Dost ilə ye iç, alış-veriş eyləmə.|469
Dost ilən bazar dostluğu pozar.|643
Dost məni ansın bir çürük qozla.|73
Dost məni yad eyləsin bir güleyşə nar ilə.|210
Dost min isə azdır, düşmən bir isə çoxdur.|327
Dost olan eyib görməz.|505
Dost sirrin dost bilər.|489
Dost var ağıla-başa gələr, dost var yağlı aşa gələr.|740
Dost yaman gündə tanınar.|745
Dost yolunda boran olar, qar olar.|892
Dosta borc pul vermə, hər ikisi əldən gedər.|302
Dostluq üç almadır: gah ikisi səndə biri məndə, gah ikisi məndə biri səndə.|123
Dostluqla tutub düşmənliklə yıxma.|797
Dostu çox olanın gücü çox olar.|539
Dostu qurd olanın el-obası yurd olar.|228
Dostun sirrin dost bilər.|6
Dostun atdığı daş baş yarmaz.|27
Dostunu ağladan özü gülməz.|33
Dostunu mənə de, deyim sən kimsən.|65
Doşab almışam, bal çıxıb.|516
Dovşana qaç deyir, tazıya tut.|750
Dovşanın gümanı ayaqlarına gələr.|12
Doymacı xatın yeyər, yumruğu yetim.|556
Dövlət can odudur.|887
Dövlətdə – dəvə, övladda – nəvə.|544
Dövlətli kasıb olsa, qırx il iyi getməz.|401
Dövlətli yanın qaşıyanda kasıb elə bilər ona pul verir.|844
Dövlətlinin əlin bıçaq kəsər, kasıb köynəyin parçalar.|383
Dövranı sürən sürsün, hər kəsin macalı var.|189
Döyən, söyən ərim yox, yel aparan yunum var.|577
Döymə kimsənin qapısın, döyməsinlər qapını.|706
Dul arvad gecə yarısı peşman olar.|460
Dul arvad yetim saxlar, naxırçıya minnət qoyar.|683
Dul arvadı qız adına almazlar.|261
Dul arvadın boğçası qoltuğunda olar.|240
Dul arvadın divarı alçaq olar.|793
Dumbul görər oynar, mehrab görər ağlar.|37
Duymuş eşşəyi basmaq olmaz.|391
Duz-çörək – düz çörək.|75
Duzu yeyib duzlağı batırma.|664
Dünən öləni dünən basdırdılar.|25
Dünya bala dönsə, ala qarğa öz yeməyin bilər.|410
Dünya mənim deyənin dünən gəldik yasından.|121
Dünya nərdivandır; biri çıxar, biri düşər.|310
Dünya varına güvənilməz.|576
Dünya yalan dünyadı.|501
Dünyada bir pislik qalar, bir yaxşılıq.|586
Dünyada hər an mərdə arxalan.|547
Dünyanı qismətnən yeyəllər.|765
Dünyanın işin hər cür tutarsan, öylə gedər.|642
Dünyanın malı dünyada qalacaq.|203
Dünyanınkı gör-götürdür.|698
Düşə bilməyəcəyin yerə çıxma.|68
Düşmən çox olanda qaçmaq da mərdlikdir.|845
Düşmən düşməndi, nə yaxşısı, nə yamanı?!|28
Düşmən ocax başında.|967
Düşmən səni daşınan, sən düşməni aşınan.|921
Düşmən yaxandan tutanda it ətəyindən tutar.|453
Düşmən zəif olsa da, ehtiyatı əldən buraxma.|633
Düşmənə də qapında dost kimi bax.|401
Düşmənə quyu qazınca dosta ev tikərsən.|592
Düşməni dost elə, dostu düşmən eləmə.|709
Düşmənin gəlişi də tələdir, gülüşü də.|220
Düz söz daşdan keçər.|888
Düz sözə boynum qıldan nazikdir.|71
Düz yerdə yeriyə bilməz, yoxuşda şıllaq atar.|530
Düz yol gedən yorulmaz.|41
Düzəlibdi hər yarağım, qalıbdı saqqal darağım.|83
Ehtiyac adamı oğru eləyər.|748
Ehtiyat igidin yaraşığıdır.|206
Ehtiyatlı oğulun anası ağlamaz.|394
El ağzı – çuval ağzı.|313
El ağzı faldır.|43
El ağzı ilə quş tutulmaz.|242
El ağzında bir sözün yüz rəngi var.|703
El atan daş uzağa gedər.|480
El atan daşa güc düşməz.|216
El atan daşı qalxızmaq olmaz.|224
El bir olsa, dağ oynadar yerindən.|35
El çalan zurnanın səsi uzaqdan gələr.|749
El dediyi mübarək olar.|477
El dəlisin çölə atmaz.|280
El el üstə sığışar, ev ev üstə sığışmaz.|638
El eybin sənə söyləyən sənin də eybini elə söylər.|766
El gözü aydın görər.|825
El gözü tərəzidir.|354
El gözündən düşən boy atmaz.|308
El gücü - sel gücü.|758
El hümmətlə, quş qanadla!|483
El igidiylə tanınar.|813
El içində – öl içində.|264
El ilə gələn qara gün toy-bayramdır.|220
El keçdiyi körpüdən sən də keç.|802
El köçər, adət köçməz.|796
El qalxdı, sən də qalx.|749
El qarğıyan ağac bar verməz.|393
El malına göz dikən gözdən olar.|167
El oğlu yumurtaya qulp qoyar.|554
El öz dəlisini yaxşı tanıyar.|487
El sevməyənin ağacı quruyar.|361
El sözünə uyan qarısını tez boşar.|244
El tikəni aləm yıxa bilməz.|613
El üçün ağlayan iki gözündən olar.|264
El üfürdü, sel köpürdü.|65
El üzünə namaz qılanın arxası Allahadı.|862
El yandıran şamı söndürmək olmaz.|934
El yığılsa, zərbi kərən sındırar.|721
El yıxanı heç kəs tikə bilməz.|235
El yumruğun görməyən öz yumruğun batman sanar.|590
Elin ağzına baxan ac qalar.|945
Elin dilindən qurtarmaq olmaz.|24
Elin səsi – haqq səsidi.|375
Elin sözü əvvəl-axır düz olur.|603
Elinən gələn qara gün toy-bayramdı.|363
Elini hürküt, axsağınnan yapış.|442
Ellər bizə, biz ellərə.|18
Ellər köçər, dağlar qalar.|920
Ellərə gülən canım, indi olub el gülüncü.|968
Elə kor deyən özü badam gözlüdür?!|735
Elçi çox olar, qismət bir.|504
Elçisi Gülüm olanın başına külüm olar.|243
Elçiyə zaval yoxdur.|509
Elə çalmağın belə də oynamağı olar.|174
Elə don geymək gərək ki, yamağı evdə tapıla.|646
Elə elə ki, şorçu bir də bazara gəlsin.|427
Elə eləmə ki, körpü qala çayın o tayında.|693
Elə gül ki, biz də gülək.|269
Elə yeməyin belə də qusmağı var.|372
Elə keçəl deyil ki, qartmağı yerə düşə.|246
Elə köç, köçünə dana-buzov qatışmasın.|351
Elə musurman oldun ki, atovun xaçın da unutdun.|574
Elə zılxın belə qazanı olar.|371
Elmli qazıya şahid lazım deyil.|688
Enişdən yenə də yoxuş yaxşıdır.|248
Erkək atın yəhəri yırtıq olar.|143
Erkək eşşək, yanı qoduqlu?!|610
Erkək quşun yuvası olmaz.|60
Ermənidən bəy olmaz.|996
Erməninin qocalanı köpəyə, müsəlmanın qocalanı ipəyə dönər.|297
Ertəyə qalan bəladan qorxma.|715
Eşidibdi parağı qırxarlar, bilmir harasın qırxarlar.|279
Eşqin tərs-avandı olmaz.|547
Eşşək aldım, qatır çıxdı.|691
Eşşək anqıranda itin başı ağrıyar.|537
Eşşək batdağa bir dəfə batar.|708
Eşşək eşşəyə uzunqulaq deyər.|118
Eşşək eşşəyi borc qaşır.|389
Eşşək hələ o eşşəkdi, palanı dəyişsə də.|809
Eşşək qazanar, at yeyər.|818
Eşşək qocalmaqla töyləbaşı olmaz.|930
Eşşək nə bilir ki, zəfəran nədir?|127
Eşşək olasan, çulun məxmər?!|512
Eşşək olasan, tükün bu narınlığında!|652
Eşşək tozda ağnayanda həvəsi gələr.|712
Eşşək üstə qəmə bağlayana gülərlər.|421
Eşşəkdən adınalıq umur.|552
Eşşəkdən soruşublar: niyə niyə bərk qaçırsan? Deyib: bizdəyəndən soruş.|388
Eşşəklə getdilər, qatırla döndülər.|465
Eşşəyə anqırdığı xoş gələr.|941
Eşşəyə dedilər: mərifətini göstər, yıxıldı ağnadı.|954
Eşşəyə gücü çatmaz, palanı çırpar.|509
Eşşəyə qantarğa keçirməknən at olmaz.|663
Eşşəyə qızıl çatmaqla qiyməti artmaz.|116
Eşşəyə minmək bir ayıb, eşşəkdən düşmək iki ayıb.|869
Eşşəyi minərlər ata çatınca.|630
Eşşəyi yüklədikcə tünd gedər.|525
Eşşəyim bozdur, dəyirmana getməyir.|252
Eşşəyim, ölmə, yaz gələr yonca bitər.|838
Eşşəyin anqırtısı özünə xoş gələr.|571
Eşşəyin arpası artıq düşəndə yiyəsinə şıllaq atar.|756
Eşşəyin canı yananda atdan yeyin qaçar.|541
Eşşəyin yükü yüngül olanda oynamağı gələr.|964
Ev alma, qonşu al.|301
Ev ayranı acı olur.|508
Ev bizim, sirr bizim.|986
Ev böyüksüz olmaz.|654
Ev danasından öküz olmaz.|565
Ev kimindir? Oturanın! Söz kimindir? – Götürənin.|750
Ev oğrusunu tutmaq olmaz.|458
Ev sözsüz olmaz, dəyirman tozsuz.|264
Ev təzə, divar təzə, ələyim, səni hara asım?|673
Ev yıxanın evi yıxılar.|317
Evdəki hesab bazarda çıxmaz.|84
Ev-eşiyin istəməyən el-obasını sevməz.|785
Evin küçüyü ol, kiçiyi olma.|503
Evin yaraşığı uşaqdır, süfrənin yaraşığı – qonaq.|522
Evində yatıb, yuxuda həzrət Süleymanı görür.|301
Evində yox darı, keçər oturar hamıdan yuxarı.|971
Evlinin bir evi var, evsizin min.|582
Eybi kim deyər – eybəcər.|22
Eyibli eybin bilsə, başına palaz örtər.|182
Eyibsiz dost axtaran dostsuz qalar.|568
Eyməçiyə doşab göstərməzlər.|955
Əbəçi də yük boşaldar, dəvəçi də...|289
Əbləh ilə yüyürən yolda qalar.|60
Əbləh odur dünya üçün qəm yeyə.|792
Əcəl gəldi, baş ağrısı bahana.|689
Ədəbi kimdən öyrəndin? - Ədəbsizdən.|471
Əfçi arvadı kefdə olar.|247
Əfçi kişinin arvadı qatıq kimi üyüşər.|349
Əgər varındı, aləm yarındı, əgər yoxundu – elnən aran toxundu.|195
Əqrəb etməz əqrəbaya əqrəbanın etdiyin.|939
Əkdiyin noxud, biçdiyin noxud, bazara çıxıb ləbləbi.|619
Əkən biçər, əkməyən nə biçər?!|154
Əkən biçər, qonan köçər.|349
Əkəndə əkməyən xırmanda ağlar.|19
Əkəndə yox, biçəndə yox, yeyəndə ortaq qardaş.|370
Əkiblər yemişik, əkirik yeyərlər!|802
Əkinçi ol, biçinçi olma.|420
Əkinçi yağış istər, yolçu quraqlıq.|105
Əqli kəm canana bax, küsübdür mən dəlidən.|568
Əl ağızdan çox görüb.|95
Əl beş barmaqdı, hərəsi bir boyda.|130
Əl əldən hökm elər.|828
Əl əli yuyar, əl də üzü.|860
Əl məndən, ətək səndən.|406
Əl mərd olar, göz namərd.|219
Əl uzadılan yerə ayaq uzadılmaz.|785
Əl üstə çox əllər var.|286
Əldən gedən ələ gəlməz.|903
Əldən qalan əlli gün qalar.|114
Əli boşa “ağa uyur” deyərlər, əli doluya “ağa buyur” deyərlər.|311
Əli kösöylü sən, otu yanan mən!|529
Əli yanan ağzına təpər.|122
Əliaçığa Allah özü yetirər.|176
Əliəyri hey düzlükdən danışar.|822
Əlim çatmayan armud, babamın xeyratına.|195
Əlimdən tutan olmaz, dalımdan itələyən var.|546
Əlin çatmayan aş qarın ağrıdar, ya baş.|209
Əlin yağlıdır? Çək öz başına.|132
Əlindən iş gəlməyən uzun danışan olar.|840
Əlini qatdın harama, kəşkülü doldur qalama.|909
Əlini qısa eylə, dilin uzun olsun.|12
Ələdin-ələdin, kəpəyinə nə qatdın?|66
Ələkçinin qıl verəni yanında olar.|738
Ələyi ələnib, xəlbiri göydə fırlanır.|234
Ələşəni küləşənə vurur, küləşəni ələşənə.|238
Əli aşından da olduq, Vəli aşından da.|861
Əlinin papağını Vəlinin başına, Vəlinin papağını Əlinin başına.|964
Əlisi dəli, Vəlisi dəli, qırğın qırmışın hamısı dəli.|309
Əlli ildi yolçuluq eləyirəm, cümə axşamını mənə görsədir.|998
Əlli ilin eşşəyinə dəyirmanın yolun öyrədir.|146
Əlli yaşında dana, indi düşüb meydana.|310
Əmanətə xəyanət olmaz.|934
Əməl azmasa, qada yeriməz.|281
Ən böyük zalım məzlumun özüdü.|185
Əncir yemədin getdin, dərdin demədin getdin.|674
Əppək ələkdən keçər, insan ciləkdən.|537
Ər atanı el atar, ər tutanı el tutar.|739
Ər çörəyi ər boğazında qalmaz.|785
Ər çörəyi ər yanında borc olar.|393
Ər eldəndi, oğul beldən, qardaşa canım qurban.|743
Ər evi – ədəb evi.|405
Ər olan çörəyini daşdan çıxardar.|542
Ərə getmək gələndə böyük bacı olur, ev süpürmək gələndə kiçik bacı.|351
Əri döymüş arvadı it də tutdu bir yandan.|799
Ərim (atam, dədəm) üçün yer saldım, gəldi qalayçı yatdı.|465
Ərlə arvadın torpağı bir yerdən götürülüb.|349
Ərli də sızıldasın, ərsiz də?!|889
Ərsiz arvad – cilovsuz at.|561
Ər-arvadın savaşı, yaz gününün yağışı.|365
Ərəb iyirmi beşlik tapdı, dedi: nə olardı bir dava kağızı tapeydim.|876
Ərəb öldü, qan düşdü.|557
Ərənlər üçəcən deyiblər.|588
Ərik ağacından saz olmaz, gəl zurnadan xəbər al.|636
Ərik bağın yoxdu ki, biləsən sığırçın necə quşdu.|217
Əringəndən yenə axsaq yaxşıdır.|551
Əringənin qazancın it yeyər, yaxasın bit.|108
Əsil al, çirkin olsun, bədəsil gözəl alma.|307
Əsil deyər anlamadım, bədəsil deyər görmədim.|198
Əsil ilə evlən, həsirdə yat.|737
Əsil olan əsilliyin itirməz.|815
Əsilsiz söz sahibinə üz qarası gətirər.|565
Əsilsizdən kərəm gəlməz.|877
Əsilsizi dalına alsan da birdi, yerə qoysan da.|265
Əsli almaq çətindi, saxlamaq asan, Bədəsli almaq asandı, saxlamaq çətin.|816
Əsli bəd olana qamçı neyləsin?!|200
Əsli gic olanı yüz eyləyəsən düzəlməz.|59
Əski düşman dost olmaz, əski dost düşman olmaz.|610
Əski pambıq bez olmaz, əski düşman düz olmaz..|957
Əski süpürgəni dama atarlar.|154
Əskisi olmayan yengisi nə olacaq?!|582
Əsl bilən bilmədiyin biləndir.|602
Əsli olmasaydı, Kərəm dağlara düşməzdi.|724
Əslin danan (itirən) haramzadadır.|570
Əslində olan dırnağında bildirəcək.|158
Əslində olan nəslində olar.|447
Əsnək əsnək gətirər.|201
Ət əppək üstə gərək.|718
Ət ilə dırnaq arasına girən iyiyib çıxar.|579
Ət yeyən quş dimdiyindən bilinər.|821
Ət yeyəni qəssab tanıyır.|213
Ətə baxma, dona baxma, içindəki cana bax.|351
Ətin üstü açıqdı, pişiyin ədəbinə nə gəldi?|832
Ətin yaxşısın qəssab axıra saxlar.|694
Ətək öpməklə ağız aşınmaz.|181
Əvəzin Bədəl adlı oğlu sağ olsun.|240
Əvvəl bəyənmirdi, indi ləlik düşüb.|680
Əvvəl danışan bilsə ki sonrakı nə danışacaq, heç danışmaz.|841
Əvvəl dəvəni ovsarla, sonra haqqa ismarla.|884
Əvvəl düşün, sonra danış.|820
Əvvəl evin içi, sonra çölü.|46
Əvvəl namaz, sonra niyaz.|773
Əvvəl salam, sonra kəlam.|71
Əvvəl usta, sonra iş.|687
Əvvəl yoldaş, ondan yol.|552
Əyilən boynu qılınc kəsməz.|612
Əyin geydiyin istəməz, qarın yediyin istər.|564
Əyri adamın kölgəsi də əyri olar.|554
Əyri ağac düz olmaz, rəndə vursan yüz yerdən.|726
Əyri dil baş yarar.|293
Əyri düzü bəyənməz, bu da bizi bəyənməz.|741
Əyri ox mənzil almaz.|991
Əyri oturaq, düz danışaq.|99
Əyrini tox gördüm, doğrunu – ac.|348
Əyrinin sözüylə doğrunu qınamazlar.|303
Əyriyə əyri gərək, doğruya doğru.|903
Əyyub səbri də bir səbir deyil.|447
Əzəl arxı tullan, sonra bərəkallah de.|312
Əzəl meçidin içi, sonra eşiyi.|706
Əzəlin gəlincə axırın gəlsin.|462
Əzgildən badam, nadandan adam.|514
Əzizim əzizdi, canım ondan da əzizdi.|328
Əzrayilə nə deyim, onu da buyuran var.|824
Fağırın düşgünü, al geyinər qış günü.|4
Fala inanma, falsız da qalma.|680
Falçı falçıya fənd vurmaz.|137
Fələk bağlar, fələk açar.|558
Fələk güclü, mən gücsüz.|326
Fələk yıxmayanı kələk yıxar.|991
Fələyin bir çuval qızılı var, hər gün birinin çiynindədir.|189
Fələyin gözü kordu.|772
Fələyin qaydasıdı, dağı çəkər dağ üstdən.|117
Fənd fəndi kəsər, Allah hər ikisin.|164
Fərhad ölüb, külüngünün səsi gəlmir.|889
Fərsiz qoyunu qurd yeyər.|986
Fərsiz oğul atasının gözün çıxartdı ki, adına Koroğlu desinlər, amma kor kişinin oğlu dedilər.|910
Filin bir fikri var, filbanın min.|47
Fitə uyanın evi yıxılar.|735
Fit-fitnən gələn köpəyin qoyuna faydası olmaz.|951
Fuğaranın gözü tox olar.|650
Gah nala döyür, gah mıxa.|483
Gavur çörəyi yeyən gavur üçün qılınc çalar.|331
Gec gələn qonaq öz kisəsindən yeyər.|309
Gec-gec gəldin, xoş gəldin, tez-tez gəldin, nöş gəldin.|608
Gecə dırnaq kəsən, gündüz nağıl deyən, həlbət gora gələrsən!|10
Gedən bağdan gedər, bağbandan nə gedər.|868
Gedən qaroy, yol qara...|795
Gedər bağlar qorası, qalar üzlər qarası.|775
Gedər bu aclıq, gələr ucuzluq, amma səndə qaldı kömbə yanığı.|327
Gen qaz, dərin qaz, özün düşərsən.|357
Gendən baxana döyüş asan görünər.|696
Get, çanağım, gəl çanağım, ortalıqda sın çanağım.|477
Get özünə dost qazan, düşmən ocaq başındadı.|526
Getdim dərdli yanına, o, məndən narın ağladı.|495
Getdim yarım yanına, qadam cicim canına.|650
Getmə gözümdən, gedərəm özümdən.|791
Getməsin o yaman ki, yerinə yaxşı gəlməz.|484
Geyişməyən yerdən qan çıxarma.|823
Gədadan bəy olmaz.|960
Gədaya borclu olma – ya toyda istər, ya bayramda.|308
Gəldi əcəl, verməz macal.|653
Gələcəyin var, görəcəyin də var.|56
Gələn adam qismətinə gələr.|778
Gələn gedənin dədəsinə rəhmət oxudur.|415
Gələndə yel gətiri, el gətiri, sel gətiri, gedəndə yel aparı, el aparı, sel aparı.|510
Gələnə yoldaş, gedənə qardaş.|498
Gəlin ocağa çəkər (gələr).|544
Gəlmisən ayran içməyə, gəlməmisən ara açmağa.|192
Gəlmişdi kabab iyinə, gördü eşşək dağlayırlar.|718
Gəlin atlandı, gör kimə düşdü.|54
Gəlin bəzənənəcən toy sovuşdu.|744
Gəlin ocağa, bərəkət bucağa.|996
Gəlin oldun, dilini çək.|792
Gəlin oynaya bilmədi, dedi: otaq əyridi.|607
Gəlini evdən qoruyarsan, oğru olar.|932
Gəlini gərdəkdə, küçüyü dəməkdə.|188
Gəmidə oturub gəmiçiylə dava eləmə.|672
Gəmisini batıran çarığını axtarmaz.|858
Gənəşəkli don gen olar.|417
Gəzdi İranı, Turanı, cənnət gördü buranı.|340
Gəzən ayağa daş dəyər.|37
Gəzən şələ bağlamaz.|626
Gəzəyən gəlinlə güləyən qızdan çarşı-bazardakı lotu yaxşıdır.|233
Gizli düşmən ilan kimidi, sürünə-sürünə gələr.|495
Gizlin kələ gələn aşkar doğar.|926
Gordan biz gəlirik, cəhənnəmdən sən xəbər verirsən.|907
Gödək atıldı vurdu uzunun başına; uzun dedi: “əcəb yadıma saldın”.|872
Gönü suya vermə, verdin heyfsilənmə.|406
Gördü – hənək, görmədi – gerçək.|57
Gördüyünü qoyub eşitdiyinə inanma.|137
Görən gözə kül üfürmə.|158
Görən gözə yasaq olmaz.|409
Görənin gözün töküncə, götürənin əlin kəs.|725
Görməmiş gördü, gülə-gülə öldü.|748
Görməmiş gördü gümüş, oldu qudurmóş.|72
Görməmişə at versən, çapıb-çapıb öldürər.|759
Görməmişin bir oğlu oldu, çəkdi çükün çıxartdı.|199
Görükən kənd bələdçi istəməz.|154
Görülmüş işdən gül iyi gələr.|46
Göy ağlamayınca yer gülməz.|486
Göydən nə yağdı ki, yer onu qəbul eləmədi?!|29
Göyçək sözün ardı tükənməz.|773
Göz gördü, göyül sevdi, mənim nə günahım var?!|266
Göz gördüyündən qorxar.|31
Göz görməsə könül sevməz.|683
Göz qənimini tanıyar.|736
Göz namərddir; qorxudar.|86
Göz yaşı da borcdandı.|723
Gözdə olmayan göyüldə də olmaz.|789
Gözdən uzaq olan könüldən də uzaq olar.|91
Gözə gəlməyən gəlinin salamı savaşdır.|930
Gözlərin aydın olsun, pişiyimiz oğlan doğub!|90
Gözü ancaq torpaq doyurar.|337
Gözü tox olanın könlü də tox olar.|431
Gözün alışmadığı işə girişmə.|816
Gözünün yaşına baxaq, ya əlinin daşına?!|373
Gözəl ağa çox gözəl idi, vurdu çiçək də çıxartdı.|501
Gözəl aşı tez bişər.|663
